q1,q2,q3,xe,ye,thetae
1.23,-1.96,-1,6.45,-4.98,-99.12
1.49,-2.48,1,11.41,1.19,0.57
1.57,-2.87,1,8.57,-1.81,-17.19
1.84,-0.59,1,-4.05,18.84,128.92
0.78,-1.99,-1,3.27,-7.24,-126.62
0.3,-0.99,1,18.75,-0.25,17.76
1.49,-0.88,0,12.04,15.0,34.95
2.22,-2.27,0,9.75,4.88,-2.86
3.06,-0.77,-1,-9.65,12.56,73.91
0.26,-0.41,0,20.61,-0.29,-8.59
2.33,-0.42,0,-9.48,18.28,109.43
1.68,-1.99,0,12.57,2.69,-17.76
1.08,-0.19,-1,14.66,10.84,-6.3
2.86,-3.04,1,4.94,5.81,46.98
1.69,-2.16,1,11.45,7.32,30.37
2.26,-1.92,-2,1.52,0.76,-95.11
1.85,-1.88,0,12.06,6.31,-1.72
2.83,-2.43,0,6.23,7.6,22.92
2.44,-2.02,-1,6.9,3.54,-33.23
0.33,-1.0,0,17.6,-6.43,-38.39
1.17,-2.91,-1,-4.89,-3.19,-156.99
1.11,-2.57,1,10.16,-3.79,-26.36
1.01,-2.19,1,13.28,-1.8,-10.31
3.1,-1.72,-1,0.83,9.76,21.77
1.99,-3.07,1,7.43,-0.34,-4.58
1.38,-0.92,-1,13.6,6.38,-30.94
2.95,-0.69,1,-18.27,5.91,186.78
2.92,-1.56,1,-10.33,13.31,135.22
1.46,-2.35,0,9.59,-3.92,-50.99
3.02,-0.22,0,-20.14,5.54,160.43
0.87,-1.76,0,13.33,-5.53,-50.99
2.82,-0.01,0,-19.88,6.77,161.0
2.32,-2.02,1,3.79,13.94,74.48
2.33,-1.61,-1,7.17,7.76,-16.04
0.55,-2.74,1,4.51,-8.54,-68.18
2.02,-0.3,-1,1.18,17.84,41.25
2.51,-0.22,0,-14.87,14.67,131.21
1.56,-2.3,0,10.41,-2.44,-42.4
0.25,-1.91,-1,-0.05,-8.48,-152.41
1.43,-0.47,0,9.01,18.4,55.0
2.01,-1.05,-1,8.03,11.79,-2.29
1.35,-1.29,-1,12.65,1.6,-53.86
0.68,-1.14,-1,12.49,-5.66,-83.65
1.01,-0.4,1,9.19,16.93,92.25
1.54,-0.98,1,6.22,17.71,89.38
2.12,-2.72,0,7.9,-1.93,-34.38
0.77,-0.82,-1,15.5,-1.55,-60.16
0.33,-1.79,0,8.17,-11.65,-83.65
3.03,-0.57,-1,-11.62,12.15,83.65
1.48,-1.7,1,12.44,10.37,44.69
2.05,-2.02,-1,7.73,0.65,-55.58
0.76,-1.96,-1,3.49,-7.36,-126.05
2.98,-1.69,-1,1.74,9.85,16.62
1.44,-1.89,-2,1.82,-0.57,-140.37
1.75,-2.79,-1,-0.87,-5.39,-116.88
1.75,-1.46,1,7.4,15.62,73.91
3.02,-2.63,2,-5.59,8.29,136.94
0.02,-2.57,0,-4.62,-7.67,-146.1
0.25,-1.73,1,13.63,-8.47,-27.5
2.55,-2.23,-1,6.28,1.7,-38.96
0.55,-1.65,1,16.11,-3.28,-5.73
2.74,-3.12,-1,1.39,-6.73,-79.07
1.22,-2.8,-1,-3.58,-4.15,-147.82
2.38,-0.55,1,-13.52,13.74,162.15
1.52,-0.67,1,3.05,18.98,106.0
1.08,-1.99,0,11.89,-4.88,-52.14
2.27,-0.31,-1,-3.15,17.57,55.0
1.81,-2.06,1,10.25,9.84,42.97
1.96,-0.07,-1,-0.45,18.56,50.99
3.01,-0.56,0,-17.72,9.85,140.37
2.87,-1.91,-1,4.27,7.33,-2.29
2.61,-1.37,1,-8.1,15.66,128.34
0.49,-0.76,1,18.14,6.1,41.83
2.57,-2.96,-1,1.85,-5.76,-79.64
0.59,-2.8,0,-2.54,-7.34,-126.62
1.31,-0.76,0,13.74,14.08,31.51
2.49,-1.18,0,-1.96,17.77,75.06
0.94,-0.18,1,7.89,17.35,100.84
0.05,-1.87,-1,-1.38,-8.65,-161.57
0.13,-2.6,1,2.17,-10.41,-84.22
2.68,-1.16,-1,0.16,13.59,29.79
0.4,-1.35,1,17.51,-2.62,2.86
2.81,-2.95,0,7.24,0.33,-8.02
1.61,-1.35,-1,11.66,4.07,-42.4
1.82,-0.37,-1,5.42,16.78,25.78
1.43,-2.62,2,8.41,5.5,46.41
1.47,-2.4,1,11.87,1.84,4.01
3.09,-1.06,1,-17.05,7.42,173.61
0.04,-2.02,-1,-2.7,-7.27,-170.74
1.67,-1.05,1,4.66,18.02,92.82
2.18,-0.19,0,-9.7,18.53,114.02
2.35,-0.33,0,-11.0,17.59,115.74
2.96,-1.51,1,-11.43,12.68,140.37
2.47,-1.88,-2,1.46,1.34,-80.79
0.68,-0.91,0,19.07,1.21,-13.18
0.43,-2.09,-1,-0.46,-7.3,-152.41
0.11,-0.68,-1,12.86,-10.01,-89.95
1.51,-1.68,0,14.22,4.62,-9.74
2.14,-1.1,0,3.31,17.97,59.59
0.75,-1.12,0,18.17,-0.29,-21.2
2.38,-2.21,1,4.56,12.46,67.04
2.87,-0.08,1,-18.89,0.06,217.15
1.21,-2.76,0,2.76,-7.45,-88.81
2.61,-2.12,-2,0.57,-0.14,-86.52
0.33,-0.74,-1,14.16,-7.43,-80.79
0.18,-1.88,0,5.08,-12.63,-97.4
0.54,-0.26,1,14.74,12.24,73.34
0.34,-2.58,0,-2.09,-8.65,-128.34
0.13,-1.71,0,6.81,-13.09,-90.53
0.28,-0.82,0,18.74,-5.26,-30.94
1.32,-1.41,-1,11.95,-0.05,-62.45
2.98,-0.31,-1,-13.84,11.27,95.68
1.15,-1.19,0,16.85,5.83,-2.29
0.89,-0.05,1,7.22,17.4,105.42
0.11,-3.04,1,-2.35,-7.25,-110.58
2.63,-2.33,1,2.46,12.24,74.48
0.21,-2.1,0,2.45,-11.83,-108.29
1.93,-1.93,1,8.32,12.44,57.3
2.68,-1.21,1,-11.04,14.44,141.52
2.78,-2.87,1,4.72,7.37,52.14
2.51,-1.93,1,0.14,14.97,90.53
0.86,-2.81,-1,-4.9,-2.53,-169.02
0.73,-0.98,0,18.78,1.2,-14.32
1.86,-1.26,1,3.58,17.66,91.67
1.67,-0.28,-1,7.04,16.51,22.35
2.04,-0.78,-1,5.74,14.71,14.9
0.13,-1.34,0,11.88,-12.19,-69.33
1.24,-1.74,1,14.56,6.62,28.65
1.25,-1.68,0,14.93,0.81,-24.64
2.2,-3.04,-1,-1.31,-6.3,-105.42
1.23,-0.81,0,15.12,12.31,24.06
1.38,-0.22,-1,11.03,14.41,9.17
3.0,-0.81,-1,-8.39,13.19,68.18
0.29,-1.97,1,11.39,-9.36,-38.96
1.13,-1.86,0,13.42,-3.01,-41.83
1.78,-0.99,0,8.4,16.79,45.26
2.5,-1.33,1,-6.82,16.42,124.33
2.22,-2.0,1,5.0,13.68,69.9
2.21,-1.55,-1,7.95,7.58,-19.48
3.12,-0.85,-1,-9.43,12.19,72.77
2.58,-0.73,-1,-3.23,15.72,48.7
0.98,-0.69,2,6.0,13.08,131.21
2.6,-1.59,-1,4.72,9.61,0.57
0.11,-2.93,1,-1.41,-8.23,-104.28
2.95,-2.45,0,5.41,8.04,28.65
2.64,-1.83,1,-2.97,15.24,103.71
2.8,-0.74,-1,-6.46,14.63,60.73
1.7,-2.15,1,11.37,7.56,31.51
3.05,-0.28,-1,-14.88,10.04,101.41
2.51,-1.44,1,-5.64,16.42,118.6
0.78,-2.44,0,3.73,-9.02,-95.11
3.1,-2.18,1,-5.15,12.44,110.01
1.84,-0.04,1,-10.05,15.91,160.43
2.31,-2.31,1,6.07,11.06,57.3
2.79,-2.37,0,6.21,8.12,24.06
1.93,-2.25,0,10.83,2.15,-18.33
2.88,-1.46,1,-10.97,13.35,138.66
2.03,-2.63,0,8.45,-1.63,-34.38
1.42,-2.95,2,7.58,3.1,26.93
0.08,-2.42,1,3.71,-11.28,-76.78
0.29,-0.35,-1,17.12,-4.52,-60.73
2.12,-1.83,-1,8.36,3.41,-40.68
0.12,-0.38,-1,15.86,-7.63,-72.19
0.66,-2.96,1,2.74,-7.67,-74.48
1.7,-0.07,0,-1.73,20.92,93.39
0.44,-0.62,0,20.11,0.48,-10.31
0.71,-1.28,1,17.56,3.7,24.64
3.0,-2.35,2,-7.53,8.53,151.83
1.7,-2.73,1,9.7,0.73,-1.72
0.86,-2.88,-1,-5.42,-1.85,-173.03
2.14,-0.45,1,-10.9,15.9,154.13
1.15,-1.65,1,15.15,6.39,28.65
1.85,-1.68,0,11.87,9.1,9.74
0.13,-2.84,-1,-5.32,1.75,-212.57
1.64,-1.3,0,12.71,11.65,19.48
1.25,-0.09,1,1.11,18.88,123.76
2.33,-1.7,0,6.49,13.33,36.1
0.49,-3.02,-1,-6.03,1.93,-202.25
2.58,-2.56,1,4.74,9.83,58.44
2.55,-1.71,2,-7.82,11.2,162.72
0.65,-2.4,-1,-2.15,-5.32,-157.56
2.49,-0.99,-1,1.07,14.58,28.65
0.03,-0.34,1,19.06,2.53,39.53
2.15,-2.34,1,7.87,9.61,46.41
2.29,-0.88,-1,2.93,14.97,23.49
0.6,-2.09,2,12.45,0.39,29.22
2.08,-1.18,1,-1.32,18.22,108.86
1.09,-2.0,0,11.83,-4.85,-52.14
0.77,-1.29,1,17.31,4.63,27.5
2.53,-2.49,1,4.81,10.34,59.59
2.57,-0.42,-1,-6.86,16.03,65.89
1.13,-0.71,0,15.77,12.04,24.06
1.22,-2.59,-1,-1.22,-5.17,-135.79
2.49,-1.25,0,-1.02,17.49,71.05
0.19,-0.29,-1,17.01,-5.62,-63.03
0.16,-1.3,0,12.76,-11.61,-65.32
3.0,-1.41,-1,-1.25,11.88,33.8
1.03,-0.04,-1,14.44,11.78,-0.57
0.86,-1.21,-1,12.68,-3.93,-77.35
2.18,-0.94,-1,5.07,14.03,13.75
2.35,-0.76,1,-11.02,15.65,148.4
0.35,-1.12,0,16.63,-7.35,-44.12
1.44,-0.47,0,8.83,18.49,55.58
2.22,-2.56,-1,3.97,-3.57,-76.78
0.36,-0.85,0,18.9,-4.12,-28.07
1.04,-1.85,1,15.24,2.29,10.89
0.48,-2.83,-1,-5.56,-0.3,-191.94
1.92,-2.97,-1,-2.14,-5.71,-117.46
0.02,-2.55,0,-4.46,-7.9,-144.96
1.57,-2.87,1,8.57,-1.81,-17.19
2.79,-0.82,-1,-5.34,14.63,55.58
1.17,-0.49,0,13.62,15.25,38.96
1.94,-2.84,-1,-0.44,-5.58,-108.86
2.4,-2.76,1,7.0,6.44,36.67
0.51,-1.42,1,17.38,-1.48,5.16
1.56,-2.34,1,11.88,3.6,12.61
1.02,-0.47,1,9.78,16.62,88.81
2.8,-1.14,0,-7.84,16.29,95.11
2.7,-0.6,1,-16.86,9.33,177.62
1.32,-0.61,-1,13.75,9.34,-16.62
1.65,-0.53,-1,9.45,14.12,6.88
1.21,-0.67,1,8.69,17.14,88.24
1.23,-2.29,1,12.75,0.07,-3.44
2.07,-1.63,0,9.32,12.11,25.21
1.0,-2.95,-1,-5.68,-1.95,-169.02
0.43,-1.0,1,18.62,2.06,24.64
1.98,-2.33,-1,5.32,-2.81,-77.35
0.25,-0.14,-1,18.15,-2.94,-50.99
1.14,-0.96,-1,14.59,2.5,-46.98
0.54,-2.85,-1,-5.61,-0.4,-189.65
1.24,-2.14,1,13.59,1.84,5.73
1.25,-1.74,0,14.56,0.05,-28.07
1.19,-1.67,0,15.02,0.03,-27.5
0.97,-2.0,0,11.16,-6.23,-59.01
3.01,-1.48,0,-6.37,14.91,87.66
2.49,-1.55,1,-3.96,16.43,111.15
0.26,-1.93,0,5.38,-12.13,-95.68
1.45,-0.41,0,7.93,19.02,59.59
0.29,-1.03,0,17.05,-7.44,-42.4
1.81,-0.96,-1,9.88,11.01,-8.59
0.13,-1.66,-1,1.5,-10.11,-144.96
0.29,-0.29,-1,17.49,-3.89,-57.3
1.73,-3.0,0,3.04,-6.46,-72.77
1.91,-1.39,0,9.82,13.56,29.79
1.0,-1.93,-1,5.51,-6.27,-110.58
0.0,-0.05,0,20.98,-0.7,-2.86
1.7,-1.83,1,10.55,11.38,49.85
1.57,-1.17,0,12.9,12.45,22.92
0.77,-2.44,-1,-1.9,-5.27,-152.98
1.01,-0.26,0,13.97,15.47,42.97
1.81,-1.62,0,12.09,9.44,10.89
2.64,-1.47,-1,3.49,11.0,9.74
2.04,-3.0,-1,-1.81,-5.97,-112.3
0.98,-0.17,1,7.07,17.68,103.71
0.45,-2.27,0,2.85,-10.52,-104.28
3.01,-0.23,0,-20.03,5.87,159.28
0.25,-0.95,0,17.49,-7.29,-40.11
2.28,-0.53,1,-12.28,14.87,157.56
0.93,-0.29,0,15.41,13.97,36.67
1.52,-0.78,0,10.69,16.43,42.4
0.93,-2.72,-1,-3.91,-3.63,-159.86
